年份,性別,地區,縣市,cancer,癌症發生數,平均年齡,年齡中位數
2010,全,桃竹苗,苗栗縣,肺,258,69.90,71.00
2010,全,桃竹苗,苗栗縣,皮膚,54,67.40,69.50
2010,全,桃竹苗,苗栗縣,甲狀腺,36,49.90,49.50
2010,全,桃竹苗,苗栗縣,白血病,26,56.30,60.50
2010,全,桃竹苗,苗栗縣,非何杰金氏淋巴瘤,53,64.90,64.00
2010,全,中彰投,彰化縣,口腔,531,57.70,57.00
2010,全,中彰投,彰化縣,食道,149,59.00,58.00
2010,全,中彰投,彰化縣,胃,203,67.90,71.00
2010,全,中彰投,彰化縣,大腸,802,66.30,67.00
2010,全,中彰投,彰化縣,肝,673,64.90,66.00
2010,全,中彰投,彰化縣,肺,686,69.20,71.00
2010,全,中彰投,彰化縣,皮膚,182,71.60,74.00
2010,全,中彰投,彰化縣,甲狀腺,111,48.60,47.00
2010,全,中彰投,彰化縣,白血病,87,59.10,62.00
2010,全,中彰投,彰化縣,非何杰金氏淋巴瘤,108,60.50,66.00
2010,全,中彰投,南投縣,口腔,194,53.80,52.50
2010,全,中彰投,南投縣,食道,80,54.70,52.00
2010,全,中彰投,南投縣,胃,72,66.20,69.00
2010,全,中彰投,南投縣,大腸,330,66.50,67.50
2010,全,中彰投,南投縣,肝,254,65.30,67.00
2010,全,中彰投,南投縣,肺,229,67.80,70.00
2010,全,中彰投,南投縣,皮膚,72,72.40,75.50
2010,全,中彰投,南投縣,甲狀腺,42,47.30,46.00
2010,全,中彰投,南投縣,白血病,51,61.60,67.00
2010,全,中彰投,南投縣,非何杰金氏淋巴瘤,43,63.20,66.00
2010,全,雲嘉南,雲林縣,口腔,341,57.20,57.00
2010,全,雲嘉南,雲林縣,食道,78,55.80,52.50
2010,全,雲嘉南,雲林縣,胃,116,69.20,70.00
2010,全,雲嘉南,雲林縣,大腸,460,67.00,69.00
2010,全,雲嘉南,雲林縣,肝,606,65.10,67.00
2010,全,雲嘉南,雲林縣,肺,386,70.20,72.00
2010,全,雲嘉南,雲林縣,皮膚,147,71.80,75.00
2010,全,雲嘉南,雲林縣,甲狀腺,78,46.20,45.50
2010,全,雲嘉南,雲林縣,白血病,47,62.00,70.00
2010,全,雲嘉南,雲林縣,非何杰金氏淋巴瘤,56,59.20,62.00
2010,全,高屏,屏東縣,口腔,371,53.80,52.00
2010,全,高屏,屏東縣,食道,108,55.40,53.50
2010,全,高屏,屏東縣,胃,139,68.80,72.00
2010,全,高屏,屏東縣,大腸,530,65.10,66.00
2010,全,高屏,屏東縣,肝,453,62.70,62.00
2010,全,高屏,屏東縣,肺,368,68.80,70.50
2010,全,高屏,屏東縣,皮膚,193,70.80,73.00
2010,全,高屏,屏東縣,甲狀腺,81,45.10,46.00
2010,全,高屏,屏東縣,白血病,84,56.80,61.50
2010,全,高屏,屏東縣,非何杰金氏淋巴瘤,59,61.50,62.00
2010,全,外島,澎湖縣,口腔,17,55.20,54.00
2010,全,外島,澎湖縣,食道,12,60.30,57.00
2010,全,外島,澎湖縣,胃,23,68.90,70.00
2010,全,外島,澎湖縣,大腸,57,66.40,67.00
2010,全,外島,澎湖縣,肝,86,63.00,62.00
2010,全,外島,澎湖縣,肺,61,71.20,74.00
2010,全,外島,澎湖縣,皮膚,22,72.60,78.50
2010,全,外島,澎湖縣,甲狀腺,8,52.10,46.00
2010,全,外島,澎湖縣,白血病,3,66.00,71.00
2010,全,外島,澎湖縣,非何杰金氏淋巴瘤,10,55.60,46.00
2010,全,東部,花蓮縣,口腔,151,54.40,54.00
2010,全,東部,花蓮縣,食道,58,55.60,53.50
2010,全,東部,花蓮縣,胃,100,73.00,77.00
2010,全,東部,花蓮縣,大腸,195,65.10,66.00
2010,全,東部,花蓮縣,肝,146,63.60,64.00
2010,全,東部,花蓮縣,肺,149,68.20,70.00
2010,全,東部,花蓮縣,皮膚,53,72.10,75.00
2010,全,東部,花蓮縣,甲狀腺,27,52.60,52.00
2010,全,東部,花蓮縣,白血病,37,63.00,68.00
2010,全,東部,花蓮縣,非何杰金氏淋巴瘤,26,61.10,64.00
2010,全,東部,台東縣,口腔,128,57.90,58.00
2010,全,東部,台東縣,食道,43,58.20,58.00
2010,全,東部,台東縣,胃,40,71.80,75.50
2010,全,東部,台東縣,大腸,120,67.60,68.50
2010,全,東部,台東縣,肝,127,65.30,68.00
2010,全,東部,台東縣,肺,134,70.30,71.00
2010,全,東部,台東縣,皮膚,24,70.50,67.00
2010,全,東部,台東縣,甲狀腺,19,47.50,48.00
2010,全,東部,台東縣,白血病,14,62.60,66.50
2010,全,東部,台東縣,非何杰金氏淋巴瘤,13,59.50,64.00
2010,全,外島,金門縣,口腔,6,52.20,54.00
2010,全,外島,金門縣,食道,9,70.90,71.00
2010,全,外島,金門縣,胃,15,64.50,63.00
2010,全,外島,金門縣,大腸,27,60.90,60.00
2010,全,外島,金門縣,肝,27,63.10,62.00
2010,全,外島,金門縣,肺,31,69.80,70.00
2010,全,外島,金門縣,皮膚,1,46.00,46.00
2010,全,外島,金門縣,甲狀腺,7,53.10,58.00
2010,全,外島,金門縣,白血病,3,64.30,73.00
2010,全,外島,金門縣,非何杰金氏淋巴瘤,10,71.50,71.50
2010,全,外島,連江縣,口腔,4,59.30,62.00
2010,全,外島,連江縣,大腸,1,91.00,91.00
2010,全,外島,連江縣,肝,7,49.10,45.00
2010,全,外島,連江縣,肺,5,77.60,82.00
2010,全,外島,連江縣,甲狀腺,1,76.00,76.00
2010,男,北北基,台北市,口腔,368,57.20,56.00
2010,男,北北基,台北市,食道,165,60.60,57.00
2010,男,北北基,台北市,胃,346,72.30,76.50
2010,男,北北基,台北市,大腸,1044,66.70,66.00
2010,男,北北基,台北市,肝,714,64.40,64.00
2010,男,北北基,台北市,肺,803,70.90,73.00
2010,男,北北基,台北市,皮膚,193,67.30,69.00
2010,男,北北基,台北市,攝護腺,749,74.30,75.00
2010,男,北北基,台北市,甲狀腺,89,51.20,52.00
2010,男,北北基,台北市,白血病,180,61.40,65.50
2010,男,北北基,台北市,非何杰金氏淋巴瘤,174,65.20,67.50
2010,男,中彰投,台中市,口腔,652,53.60,53.00
2010,男,中彰投,台中市,食道,234,58.70,57.00
2010,男,中彰投,台中市,胃,271,67.70,71.00
2010,男,中彰投,台中市,大腸,887,64.60,66.00
2010,男,中彰投,台中市,肝,797,61.90,61.00
2010,男,中彰投,台中市,肺,646,68.90,71.00
2010,男,中彰投,台中市,皮膚,139,67.60,73.00
2010,男,中彰投,台中市,攝護腺,460,73.20,74.00
2010,男,中彰投,台中市,甲狀腺,57,46.90,46.00
2010,男,中彰投,台中市,白血病,129,56.20,61.00
2010,男,中彰投,台中市,非何杰金氏淋巴瘤,118,57.80,60.50
2010,男,雲嘉南,台南市,口腔,474,53.80,53.00
2010,男,雲嘉南,台南市,食道,152,57.10,54.00
2010,男,雲嘉南,台南市,胃,174,68.80,69.00
2010,男,雲嘉南,台南市,大腸,705,66.00,67.00
2010,男,雲嘉南,台南市,肝,870,61.90,61.00
2010,男,雲嘉南,台南市,肺,617,67.90,70.00
2010,男,雲嘉南,台南市,皮膚,182,70.40,74.00
2010,男,雲嘉南,台南市,攝護腺,337,73.00,73.00
2010,男,雲嘉南,台南市,甲狀腺,52,48.60,48.50
2010,男,雲嘉南,台南市,白血病,103,58.20,62.00
2010,男,雲嘉南,台南市,非何杰金氏淋巴瘤,104,62.80,65.00
2010,男,高屏,高雄市,口腔,897,53.50,53.00
2010,男,高屏,高雄市,食道,280,55.80,55.00
2010,男,高屏,高雄市,胃,246,67.60,70.00
2010,男,高屏,高雄市,大腸,1093,65.70,66.00
2010,男,高屏,高雄市,肝,1160,61.20,61.00
2010,男,高屏,高雄市,肺,766,68.20,69.00
2010,男,高屏,高雄市,皮膚,232,69.10,73.00
2010,男,高屏,高雄市,攝護腺,468,73.40,75.00
2010,男,高屏,高雄市,甲狀腺,76,51.10,53.00
2010,男,高屏,高雄市,白血病,131,54.20,59.00
2010,男,高屏,高雄市,非何杰金氏淋巴瘤,132,59.60,60.00
2010,男,北北基,基隆市,口腔,78,53.90,51.00
2010,男,北北基,基隆市,食道,42,58.60,56.00
2010,男,北北基,基隆市,胃,50,70.60,70.00
2010,男,北北基,基隆市,大腸,120,63.30,62.00
2010,男,北北基,基隆市,肝,125,62.60,61.00
2010,男,北北基,基隆市,肺,123,69.70,72.00
2010,男,北北基,基隆市,皮膚,24,69.80,72.50
2010,男,北北基,基隆市,攝護腺,72,73.50,73.50
2010,男,北北基,基隆市,甲狀腺,17,50.40,53.00
2010,男,北北基,基隆市,白血病,17,56.10,63.00
2010,男,北北基,基隆市,非何杰金氏淋巴瘤,14,65.00,68.50
2010,男,北北基,新北市,口腔,942,53.90,53.00
2010,男,北北基,新北市,食道,343,58.20,57.00
2010,男,北北基,新北市,胃,428,67.20,68.00
2010,男,北北基,新北市,大腸,1325,63.70,63.00
2010,男,北北基,新北市,肝,1139,60.70,60.00
2010,男,北北基,新北市,肺,1129,68.40,70.00
2010,男,北北基,新北市,皮膚,185,66.10,70.00
2010,男,北北基,新北市,攝護腺,804,73.30,74.00
2010,男,北北基,新北市,甲狀腺,111,46.50,46.00
2010,男,北北基,新北市,白血病,183,55.60,58.00
2010,男,北北基,新北市,非何杰金氏淋巴瘤,207,60.60,61.00
2010,男,桃竹苗,桃園市,口腔,434,52.40,51.00
2010,男,桃竹苗,桃園市,食道,145,58.20,56.00
2010,男,桃竹苗,桃園市,胃,213,69.20,71.00
2010,男,桃竹苗,桃園市,大腸,644,64.80,65.00
2010,男,桃竹苗,桃園市,肝,492,62.60,62.00
2010,男,桃竹苗,桃園市,肺,545,70.30,73.00
2010,男,桃竹苗,桃園市,皮膚,109,66.40,71.00
2010,男,桃竹苗,桃園市,攝護腺,359,75.00,76.00
2010,男,桃竹苗,桃園市,甲狀腺,45,47.50,46.00
2010,男,桃竹苗,桃園市,白血病,100,55.40,58.50
2010,男,桃竹苗,桃園市,非何杰金氏淋巴瘤,107,62.30,66.00
2010,男,東部,宜蘭縣,口腔,95,53.10,53.00
2010,男,東部,宜蘭縣,食道,53,59.60,58.00
2010,男,東部,宜蘭縣,胃,85,69.40,73.00
2010,男,東部,宜蘭縣,大腸,173,67.00,66.00
2010,男,東部,宜蘭縣,肝,157,63.10,63.00
2010,男,東部,宜蘭縣,肺,237,70.70,73.00
2010,男,東部,宜蘭縣,皮膚,36,70.60,73.50
2010,男,東部,宜蘭縣,攝護腺,89,74.80,76.00
2010,男,東部,宜蘭縣,甲狀腺,8,54.50,56.50
2010,男,東部,宜蘭縣,白血病,39,60.50,71.00
2010,男,東部,宜蘭縣,非何杰金氏淋巴瘤,23,60.70,66.00
2010,男,桃竹苗,苗栗縣,口腔,117,52.90,51.00
2010,男,桃竹苗,苗栗縣,食道,56,57.40,54.50
2010,男,桃竹苗,苗栗縣,胃,60,67.20,69.50
2010,男,桃竹苗,苗栗縣,大腸,214,66.60,68.00
2010,男,桃竹苗,苗栗縣,肝,229,65.40,68.00
2010,男,桃竹苗,苗栗縣,肺,159,70.70,74.00
2010,男,桃竹苗,苗栗縣,皮膚,37,65.90,69.00
2010,男,桃竹苗,苗栗縣,攝護腺,128,72.60,73.00
2010,男,桃竹苗,苗栗縣,甲狀腺,7,55.70,58.00
2010,男,桃竹苗,苗栗縣,白血病,17,57.60,62.00
2010,男,桃竹苗,苗栗縣,非何杰金氏淋巴瘤,29,66.80,66.00
2010,男,中彰投,彰化縣,口腔,497,57.40,56.00
2010,男,中彰投,彰化縣,食道,139,58.70,57.00
2010,男,中彰投,彰化縣,胃,114,68.10,71.00
2010,男,中彰投,彰化縣,大腸,485,66.30,67.00
2010,男,中彰投,彰化縣,肝,488,63.40,64.00
2010,男,中彰投,彰化縣,肺,436,70.50,73.00
2010,男,中彰投,彰化縣,皮膚,91,67.80,70.00
2010,男,中彰投,彰化縣,攝護腺,217,73.40,74.00
2010,男,中彰投,彰化縣,甲狀腺,28,51.50,52.00
2010,男,中彰投,彰化縣,白血病,48,56.50,57.00
2010,男,中彰投,彰化縣,非何杰金氏淋巴瘤,64,58.40,61.50
2010,男,中彰投,南投縣,口腔,185,53.60,52.00
2010,男,中彰投,南投縣,食道,75,54.00,52.00
2010,男,中彰投,南投縣,胃,50,69.40,71.00
2010,男,中彰投,南投縣,大腸,181,66.10,67.00
2010,男,中彰投,南投縣,肝,168,63.00,65.00
2010,男,中彰投,南投縣,肺,158,68.80,72.00
2010,男,中彰投,南投縣,皮膚,37,73.20,76.00
2010,男,中彰投,南投縣,攝護腺,124,73.80,74.00
2010,男,中彰投,南投縣,甲狀腺,7,49.10,42.00
2010,男,中彰投,南投縣,白血病,33,59.70,67.00
2010,男,中彰投,南投縣,非何杰金氏淋巴瘤,22,59.50,65.50
2010,男,雲嘉南,雲林縣,口腔,326,57.20,57.00
2010,男,雲嘉南,雲林縣,食道,77,55.90,53.00
2010,男,雲嘉南,雲林縣,胃,74,68.10,70.00
2010,男,雲嘉南,雲林縣,大腸,283,65.60,67.00
2010,男,雲嘉南,雲林縣,肝,439,63.00,64.00
2010,男,雲嘉南,雲林縣,肺,256,70.80,72.00
2010,男,雲嘉南,雲林縣,皮膚,73,72.50,76.00
2010,男,雲嘉南,雲林縣,攝護腺,121,74.40,75.00
2010,男,雲嘉南,雲林縣,甲狀腺,11,47.40,38.00
2010,男,雲嘉南,雲林縣,白血病,28,60.70,65.50
2010,男,雲嘉南,雲林縣,非何杰金氏淋巴瘤,29,57.50,58.00
2010,男,高屏,屏東縣,口腔,324,52.60,51.00
2010,男,高屏,屏東縣,食道,104,54.80,53.00
2010,男,高屏,屏東縣,胃,84,69.50,72.50
2010,男,高屏,屏東縣,大腸,329,65.30,66.00
2010,男,高屏,屏東縣,肝,324,61.00,60.00
2010,男,高屏,屏東縣,肺,246,69.40,71.00
2010,男,高屏,屏東縣,皮膚,104,70.20,72.50
2010,男,高屏,屏東縣,攝護腺,177,72.40,73.00
2010,男,高屏,屏東縣,甲狀腺,21,49.20,49.00
2010,男,高屏,屏東縣,白血病,49,56.10,63.00
2010,男,高屏,屏東縣,非何杰金氏淋巴瘤,36,61.30,61.00
2010,男,外島,澎湖縣,口腔,17,55.20,54.00
2010,男,外島,澎湖縣,食道,12,60.30,57.00
2010,男,外島,澎湖縣,胃,13,69.10,68.00
2010,男,外島,澎湖縣,大腸,33,67.10,67.00
2010,男,外島,澎湖縣,肝,64,60.80,59.50
2010,男,外島,澎湖縣,肺,37,72.20,74.00
2010,男,外島,澎湖縣,皮膚,12,70.40,77.50
2010,男,外島,澎湖縣,攝護腺,15,70.50,72.00
2010,男,外島,澎湖縣,甲狀腺,1,45.00,45.00
2010,男,外島,澎湖縣,白血病,2,75.00,75.00
2010,男,外島,澎湖縣,非何杰金氏淋巴瘤,9,56.80,47.00
2010,男,東部,花蓮縣,口腔,139,53.70,54.00
2010,男,東部,花蓮縣,食道,54,55.50,52.00
2010,男,東部,花蓮縣,胃,69,72.60,76.00
2010,男,東部,花蓮縣,大腸,120,66.10,66.50
2010,男,東部,花蓮縣,肝,105,61.40,62.00
2010,男,東部,花蓮縣,肺,101,68.70,70.00
2010,男,東部,花蓮縣,皮膚,35,73.00,75.00
2010,男,東部,花蓮縣,攝護腺,58,75.40,77.00
2010,男,東部,花蓮縣,甲狀腺,3,56.70,54.00
2010,男,東部,花蓮縣,白血病,26,65.90,69.00
2010,男,東部,花蓮縣,非何杰金氏淋巴瘤,20,61.60,67.00
2010,男,東部,台東縣,口腔,109,57.00,57.00
2010,男,東部,台東縣,食道,39,56.30,56.00
2010,男,東部,台東縣,胃,23,70.00,74.00
2010,男,東部,台東縣,大腸,78,68.30,69.50
2010,男,東部,台東縣,肝,88,62.40,62.00
2010,男,東部,台東縣,肺,84,70.40,71.50
2010,男,東部,台東縣,皮膚,17,69.20,67.00
2010,男,東部,台東縣,攝護腺,35,73.30,73.00
2010,男,東部,台東縣,甲狀腺,4,47.80,48.50
2010,男,東部,台東縣,白血病,8,63.90,67.50
2010,男,東部,台東縣,非何杰金氏淋巴瘤,7,53.30,78.00
2010,男,外島,金門縣,口腔,5,50.60,52.00
2010,男,外島,金門縣,食道,8,69.40,71.00
2010,男,外島,金門縣,胃,11,62.60,59.00
2010,男,外島,金門縣,大腸,16,61.10,58.50
2010,男,外島,金門縣,肝,24,61.50,59.00
2010,男,外島,金門縣,肺,21,69.30,71.00
2010,男,外島,金門縣,攝護腺,8,71.40,71.00
2010,男,外島,金門縣,甲狀腺,3,65.70,60.00
2010,男,外島,金門縣,非何杰金氏淋巴瘤,4,73.30,76.50
2010,男,外島,連江縣,口腔,4,59.30,62.00
2010,男,外島,連江縣,肝,7,49.10,45.00
2010,男,外島,連江縣,肺,2,82.50,82.50
2010,女,北北基,台北市,口腔,55,61.90,61.00
2010,女,北北基,台北市,食道,19,72.70,74.00
2010,女,北北基,台北市,胃,187,69.00,70.00
2010,女,北北基,台北市,大腸,776,66.70,68.00
2010,女,北北基,台北市,肝,314,71.30,73.00
2010,女,北北基,台北市,肺,602,67.00,68.00
2010,女,北北基,台北市,皮膚,129,66.70,71.00
2010,女,北北基,台北市,女性乳房,1523,55.50,54.00
2010,女,北北基,台北市,女性生殖器癌症,183,58.70,57.00
2010,女,北北基,台北市,女性生殖器癌症,278,54.60,53.00
2010,女,北北基,台北市,女性生殖器癌症,197,53.60,52.00
2010,女,北北基,台北市,甲狀腺,298,47.90,48.00
2010,女,北北基,台北市,白血病,101,58.50,59.00
2010,女,北北基,台北市,非何杰金氏淋巴瘤,156,61.10,61.50
2010,女,中彰投,台中市,口腔,56,60.50,60.00
2010,女,中彰投,台中市,食道,17,70.50,69.00
2010,女,中彰投,台中市,胃,143,65.30,66.00
2010,女,中彰投,台中市,大腸,685,64.90,65.00
2010,女,中彰投,台中市,肝,363,69.10,70.00
2010,女,中彰投,台中市,肺,396,64.90,65.00
2010,女,中彰投,台中市,皮膚,139,65.50,68.00
2010,女,中彰投,台中市,女性乳房,1104,53.20,51.50
2010,女,中彰投,台中市,女性生殖器癌症,199,56.30,53.00
2010,女,中彰投,台中市,女性生殖器癌症,196,53.50,54.00
2010,女,中彰投,台中市,女性生殖器癌症,154,50.70,51.00
2010,女,中彰投,台中市,甲狀腺,161,45.80,46.00
2010,女,中彰投,台中市,白血病,100,53.20,58.00
2010,女,中彰投,台中市,非何杰金氏淋巴瘤,98,57.90,60.50
2010,女,雲嘉南,台南市,口腔,44,59.10,59.50
2010,女,雲嘉南,台南市,食道,6,74.20,77.00
2010,女,雲嘉南,台南市,胃,133,68.50,73.00
2010,女,雲嘉南,台南市,大腸,567,66.40,67.00
2010,女,雲嘉南,台南市,肝,371,68.90,70.00
2010,女,雲嘉南,台南市,肺,370,67.50,68.00
2010,女,雲嘉南,台南市,皮膚,175,72.80,75.00
2010,女,雲嘉南,台南市,女性乳房,756,53.20,52.00
2010,女,雲嘉南,台南市,女性生殖器癌症,126,56.50,55.50
2010,女,雲嘉南,台南市,女性生殖器癌症,141,55.30,54.00
2010,女,雲嘉南,台南市,女性生殖器癌症,111,50.60,50.00
2010,女,雲嘉南,台南市,甲狀腺,191,48.80,47.00
2010,女,雲嘉南,台南市,白血病,71,54.90,60.00
2010,女,雲嘉南,台南市,非何杰金氏淋巴瘤,77,59.90,64.00
2010,女,高屏,高雄市,口腔,44,56.80,55.50
2010,女,高屏,高雄市,食道,12,64.70,62.50
2010,女,高屏,高雄市,胃,159,64.50,65.00
2010,女,高屏,高雄市,大腸,824,65.00,65.50
2010,女,高屏,高雄市,肝,502,67.50,69.00
2010,女,高屏,高雄市,肺,490,64.90,65.00
2010,女,高屏,高雄市,皮膚,215,71.30,74.00
2010,女,高屏,高雄市,女性乳房,1234,53.40,52.00
2010,女,高屏,高雄市,女性生殖器癌症,3,64.00,69.00
2010,女,高屏,高雄市,女性生殖器癌症,210,56.60,56.00
2010,女,高屏,高雄市,女性生殖器癌症,187,54.20,54.00
2010,女,高屏,高雄市,女性生殖器癌症,152,52.00,51.50
2010,女,高屏,高雄市,甲狀腺,218,48.80,50.00
2010,女,高屏,高雄市,白血病,82,54.30,57.00
2010,女,高屏,高雄市,非何杰金氏淋巴瘤,111,58.80,59.00
2010,女,北北基,基隆市,口腔,5,70.00,74.00
2010,女,北北基,基隆市,食道,4,66.30,64.00
2010,女,北北基,基隆市,胃,30,65.00,64.50
2010,女,北北基,基隆市,大腸,102,65.80,66.00
2010,女,北北基,基隆市,肝,65,67.10,69.00
2010,女,北北基,基隆市,肺,65,67.00,68.00
2010,女,北北基,基隆市,皮膚,11,74.70,76.00
2010,女,北北基,基隆市,女性乳房,143,53.60,50.00
2010,女,北北基,基隆市,女性生殖器癌症,30,59.10,55.50
2010,女,北北基,基隆市,女性生殖器癌症,34,52.10,51.00
2010,女,北北基,基隆市,女性生殖器癌症,25,50.80,53.00
2010,女,北北基,基隆市,甲狀腺,17,52.90,55.00
2010,女,北北基,基隆市,白血病,19,57.50,60.00
2010,女,北北基,基隆市,非何杰金氏淋巴瘤,12,59.10,64.00
2010,女,北北基,新北市,口腔,96,59.00,58.50
2010,女,北北基,新北市,食道,33,67.90,69.00
2010,女,北北基,新北市,胃,241,65.20,66.00
2010,女,北北基,新北市,大腸,978,64.80,64.00
2010,女,北北基,新北市,肝,443,67.80,69.00
2010,女,北北基,新北市,肺,634,65.60,66.00
2010,女,北北基,新北市,皮膚,202,67.20,70.00
2010,女,北北基,新北市,女性乳房,1923,52.60,51.00
2010,女,北北基,新北市,女性生殖器癌症,1,36.00,36.00
2010,女,北北基,新北市,女性生殖器癌症,305,57.00,55.00
2010,女,北北基,新北市,女性生殖器癌症,345,53.40,53.00
2010,女,北北基,新北市,女性生殖器癌症,235,51.20,51.00
2010,女,北北基,新北市,甲狀腺,384,46.20,47.00
2010,女,北北基,新北市,白血病,149,51.40,55.00
2010,女,北北基,新北市,非何杰金氏淋巴瘤,165,58.40,58.00
2010,女,桃竹苗,桃園市,口腔,46,61.70,60.00
2010,女,桃竹苗,桃園市,食道,16,70.80,74.50
2010,女,桃竹苗,桃園市,胃,119,65.30,67.00
2010,女,桃竹苗,桃園市,大腸,437,64.30,64.00
2010,女,桃竹苗,桃園市,肝,204,68.10,71.00
